"1099cg.com","1099cg.com:25",""
"alarmandelectronics.com","secure.alarmandelectronics.com:25",""
"artwavesbh.com","artwavesbh.com:25",""
"artwavesmdi.com","mail.artwavesmdi.com:25",""
"azwasteoil.com","azwasteoil.com:25",""
"barharborbangorshuttle.com","mail.barharborbangorshuttle.com:25",""
"barkharbor.com","lightning.svaha.com:25",""
"barkleyssafeandlock.com","barkleyssafeandlock.com:25",""
"barndogcreative.com","barndogcreative.com:25",""
"barndogdesign.com","barndogdesign.com:25",""
"barxalot.com","mail.barxalot.com:25,lightning.svaha.com:25",""
"beeberrywoods.com","beeberrywoods.com:25","mebw.org"
"bethanyreynolds.com","mail.bethanyreynolds.com:25",""
"blacksheeptrading.com","mail.blacksheeptrading.com:25,lightning.svaha.com:25",""
"breadeuphoria.org","breadeuphoria.org:25",""
"centralalarmcontrol.com","secure.alarmandelectronics.com:25",""
"chaostime.com","chaostime.com:25",""
"chuckdonnelly.com","mail.chuckdonnelly.com:25",""
"coonhoundrescue.org","coonhoundrescue.org:25",""
"dailyllc.com","mail.dailyllc.com:25",""
"deborahlpage.com","deborahlpage.com:25",""
"dickatlee.com","mail.dickatlee.com:25",""
"donnellpond.com","donnellpond.com:25",""
"drshaw.org","mail.drshaw.org:25",""
"eopipes.com","mail.eopipes.com:25",""
"f8photoj.com","mail.f8photoj.com:25",""
"gooserocks.net","mail.gooserocks.net:25",""
"gracejudson.com","lightning.svaha.com:25",""
"heartcraftcalligraphy.com","heartcraftcalligraphy.com:25",""
"homecoop.net","homecoop.net:25",""
"jenniferhunter.com","mail.jenniferhunter.com:25",""
"jenniferlava.com","mail.jenniferlava.com:25",""
"johnscalendar.com","mail.johnscalendar.com:25",""
"karenfontaine.com","lightning.svaha.com:25",""
"kbeyer.com","kbeyer.com:25",""
"kimballshop.com","mail.kimballshop.com:25",""
"klobeauty.com","secure.svaha.com:25",""
"lanpherassociates.com","mail.lanpherassociates.com:25",""
"lavadoll.com","lavadoll.com:25",""
"mazower.com","mazower.com:25",""
"mcmrentals.info","mcmrentals.info:25",""
"melandsean.net","mail.melandsean.net:25",""
"mrlanguage.com","mail.mrlanguage.com:25",""
"mtdesertfestival.org","mtdesertfestival.org:25",""
"nautilus3d.com","lightning.svaha.com:25",""
"orgone.org","lightning.svaha.com:25",""
"peacectr.org","mail.peacectr.org:25",""
"peascods.org","peascods.org:25",""
"pmd-cpa.com","mail.pmd-cpa.com:25",""
"protectorinspectors.com","protectorinspectors.com:25",""
"pseudo-blue.com","pseudo-blue.com:25",""
"rosehavenalpacas.com","rosehavenalpacas.com:25",""
"seandelliot.com","flash.svaha.com:25",""
"shalomorchard.com","mail.shalomorchard.com:25",""
"springersgymnastics.com","mail.springersgymnastics.com:25",""
"sweetandfizzy.com","mail.sweetandfizzy.com:25",""
"uncommonhound.com","lightning.svaha.com:25",""
"wallofthorns.com","wallofthorns.com:25",""
"winterdream.org","winterdream.org:25",""
